"","GB139","GB140","GB298","GB299","GB137","GB138","GB257","GB260","GB950m","GB949m","GB297","GB059","GB250","GB251m","GB256","GB606m","GB327","GB105","GB408","GB409","GB410","GB265","GB273","GB800m","GB116","GB026","GB480m","GB081","GB777drm","GB103","GB108","GB113","GB151","GB704drm","GB701drm","GB702drm","GB124","GB563m","GB104","GB853drm","GB177","GB954drmc","GB624drmc","GB623drmc","GB025ri","GB991drmc","GB046","GB049","GB551m","GB620drmc","GB621drmc","GB058","GB888drmc","GB553drmc","GB625m","GB095","GB096","GB098","GB622drmc","GB557drm","GB559drm","GB107","GB558drm","GB109","GB110c","GB595m","GB024ri","GB111","GB065ri","GB852drm","GB074c","GB851drm","GB075c","GB130ri","GB131","GB203ri","GB132","GB552m","GB047","GB133","GB048","GB501drm","GB158","GB159","GB550m","GB149","GB027","GB028","GB030","GB031","GB155","GB035","GB036","GB037","GB039c","GB945m","GB041c","GB193ri","GB196","GB197","GB068","GB069","GB549drmc","GB887drmc","GB099","GB266","GB270","GB850drm","GB117","GB118","GB500drm","GB122","GB126","GB127","GB129","GB134","GB135","GB136","GB146","GB555m","GB556m","GB150","GB152","GB156","GB167","GB951drmc","GB990drmc","GB567drm","GB952drmc","GB568drm","GB953drmc","GB561drmc","GB300","GB328","GB309c","GB313","GB331","GB333","GB955drmc","GB336","GB324","GB325","GB326","GB334","GB335","GB415","GB590m","GB591m","GB522"
"chan1313","1",NA,"0","1","0","0","0","0","1","1","0","0","0","1","0",NA,"0","1","1","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0",NA,NA,"1",NA,NA,NA,"0",NA,NA,"0","1","1","0","0","0","0",NA,"1","1","1","1","0","0","1","2","0","1",NA,NA,NA,NA,"1","0","2","0","0",NA,"1",NA,"0","0","0","1","0","1","1","0","1","1","0","0","0","0","1","0",NA,"0","0","0","1","1","1","0","0","0","1",NA,NA,"0","0",NA,"0","0","1","1","1","0",NA,NA,NA,"1","0","0","0","0","0","0","1","0","1","1","0","0","1","1","1",NA,"0","0",NA,"1","0","1","0","1","0","0"
"chao1238","0","1","1","1","1","1","0","0","1","0","1","1","1",NA,NA,"0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","0","0","0","0","0",NA,"1","0","1","0","0",NA,NA,"1","0","0","0","1",NA,NA,"0",NA,NA,"0","0","0","0",NA,NA,"1","1",NA,"0","0","0","1","0","2","0","1","0","0","1","0",NA,"1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0",NA,NA,NA,NA,"0","0","0","1","0","1","1","1","1","0","0","1",NA,"1","0","1","0","0","0","1","0","1","1","0","1","0","0","0","0","1",NA,"0","0","1","0","0","1","0","1","0","0","0","0","0","1"
"char1269","1","1","0","1","1","0",NA,NA,NA,NA,NA,"0","1","1","0",NA,NA,"0","1","0","0",NA,NA,NA,"0","0","1","0","1","0","0",NA,"0",NA,NA,NA,"0","1","0",NA,"0",NA,"1","0","1",NA,"0","1",NA,"1","0","0","0","0","1","1","0","1","0","1","1","1","1","0","0",NA,NA,"0","1","1","0",NA,"1","1","0","2","0","1",NA,"1",NA,"0","0","0","0","0","1","0","0","0","1","1","0","0",NA,NA,NA,"1","0","0","0","0","1","1","0",NA,NA,"1","0",NA,"0","0","0","0",NA,"1",NA,"1",NA,"1","0","1","0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"1","0",NA,"1",NA,"0","0",NA,"1","0","0","0","0","0","1"
"chec1245","1","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0",NA,NA,NA,"0","0","0","0","0","1","0","1","0","1",NA,"0","0","0","0","0","1","0","1","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1","1","0","1","0","0","1","1",NA,NA,"0","0","0","0","1","1","0","0","1","1","0","0","1","1","1","1","0","0","0","0","1","1","0","0","0","1","1","0",NA,"1","0",NA,"0",NA,"0","1","0","0","0","1","1","0","1","0","0","1","0","1","0","1","1","1","1","0","0","1","1","0","0","1","0","0","1",NA,NA,NA,NA
"chen1255","1","0","1","0","1","0","0","0","0",NA,"0","0","0","1",NA,"0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0",NA,"1","1","1","0","1","1","1","0","0","0","0","1","1","1",NA,"0","0","0","1","0","1","0","0","0","1","1","0",NA,"0","0",NA,"1",NA,"0","0","0","0","0","1","1","1","0","1","0","0","0","0","1","0","1","0","0",NA,"0","1","1","0","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","1","1","0","0","0","1","0","1"
"chep1245","1","0","0","0","1","0","1","0","0","0","1","0",NA,NA,NA,"0","0","1","0","1","0",NA,NA,NA,"0",NA,"1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1",NA,"1","0","0","1","0","1","1","1",NA,"0","0","1","1","1","1","1","0","0","1","1","0","1","1",NA,"1",NA,"1","0",NA,"0","0","0","1","0","1","1","0","0","0","1","1","0","1","1","0","0","0","0","1",NA,"1","0","0",NA,NA,"1","1","0",NA,NA,"1","1","1","1","1","1","0","0","1","1","1",NA,NA,"0","0","1","0","0","0","0",NA,"1","0","0",NA,NA,"1","0","0","0",NA,"1",NA,"0",NA,"1",NA,NA,"0","1","0","1"
"cher1273","1","1","0","1","0","1","0","0","0","1","0","1","1","0","0","0","1","1","0","0","1","0","1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","1","0","1","0","0","0","1","1","1","0","1","1","1","1","0","0","1","1","0","0",NA,"1","1","1","1","1","0","1","1","1","1","1","1","0","1","1",NA,"0","1","0","0","1","0","1","0",NA,NA,"1","1",NA,"1","0","0","1","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","0","0","1","0","1","1","0","1",NA,"0","0","0","0","0","1","0","1","0","0","0","1","1","1","0","0","0","1","1","0","0",NA,"0",NA,"0","0","0","1","1"
"chhi1245","1",NA,"0","0","0","1",NA,NA,"1","0","0","1","0","1",NA,"1","0","0",NA,NA,NA,NA,NA,"0","0","1","1","0","1","0","0","0","0",NA,NA,"0",NA,"1","0","0","0","0","1","1","1","0","0","1","0","1","1","0","1","1","1","0","0","0","1","1","1","1","1",NA,NA,"1","1","0","1","1","0","1","1","1","0",NA,"0","1","1","1","1",NA,"1","0","0","0","1","1","0","1","0",NA,"1","0","0","1",NA,"1","0","0","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,"1","1","0","0","1","1","0","1","1",NA,NA,"0","0",NA,"0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA
"chib1270","1",NA,"0","0","1","0","0","0","0","1","0",NA,"0",NA,"0",NA,"1","0",NA,NA,NA,"0","0","1","0","0","1","1","1",NA,"0","1","0","0",NA,NA,NA,"1","0","1","0","0","0","1","1","0",NA,NA,NA,"1","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","0","2","1","1",NA,"0",NA,"1","1","0","2","0","0","0","1","0",NA,NA,"1","0","0","1","0","0","0",NA,"1","0","0","0","1",NA,"2","0","0","0","0","1","1","0","0","0","1","1",NA,"1",NA,"0",NA,"0","1","1","1",NA,"1","0","0",NA,"0",NA,"0","0","0","0","1","0","1",NA,"0",NA,"0","1","0","0","0","0","1",NA,"0","1",NA,NA,NA,NA
"chil1280","0","1","0","1","0","1","1","0","0","1","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","1","1","1","1","1","0","0","1","0","0","1","1","1","0",NA,"1","1","1","0",NA,NA,"1","0","0","0","1","0","1","1","1","1",NA,"0","2","0","1","1","0","1","1","1","0","2","0","1","1","1",NA,"1",NA,NA,"0","0","0","0","0","1","1","0","0","0","1","1","0","2","0","0","1",NA,NA,NA,"0","1","0","1","1",NA,"1",NA,"1","0","0","1","1","0",NA,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","0",NA,NA,"0","1","1","0","0","0","1","1","0","0","0","1","1"
"chim1301","1","1","0","1",NA,"1",NA,"0","0","1","0","1","1",NA,NA,"1","0",NA,"0","0","1",NA,NA,NA,NA,"0","1",NA,"1","1","1","1","0","1","1",NA,"0",NA,"1",NA,"0","1","1","1",NA,NA,NA,"1","1","1","1",NA,"1","1","1",NA,"1",NA,"1","1","0","1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,"1","0",NA,"1","0",NA,"1","1","0","1","0","1",NA,"1",NA,"0",NA,"1","0","0","0","0","1",NA,"2","0","0","1","0","1","1",NA,"1",NA,"1","1",NA,"0","1","1",NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,"0","0","1","0",NA,"0","0","0","1","0",NA,NA,"0","1","0","0","1","0","0","1","0","0","0","1","1"
"chim1302","1","1","0","0","1","1","0","0","0","1","0",NA,"1",NA,NA,NA,"0","0","1","0","0","0",NA,NA,"0","0","1","0","1","0","1","1","1",NA,NA,NA,"0","1","0","0","0","0","1","0","1","1",NA,"1","0","1","1","0","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1",NA,"1","0","0","1","0","0","0","1","0","1","1","0","0","0","0",NA,"0",NA,"0",NA,"0","1","0","1","0","1","1","0","0","0","1","0","0","0","1","0","1"
"chim1309",NA,"1","1","1","0","1","0","0","0","1","0","0","0","1","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,"0","0","1","0","1","0","0",NA,"0","1","1","1",NA,"1","0",NA,"0","0","1","1","2","1","0",NA,"0","1","1","0","1","1","1","0","0","0","1","1","1","0",NA,NA,NA,"0","2","1","2",NA,"0",NA,"1","2","0",NA,"1","1","1","0","1",NA,NA,"1",NA,"0","1","0","0","0",NA,"1","0","1","0","1",NA,"2","0","0","1","0","1","1","0",NA,NA,NA,"0","0","1",NA,"0","0","0","1",NA,"1",NA,NA,"0","0","0","0",NA,"0","0",NA,"1","0","0",NA,NA,NA,"1","0",NA,NA,"1","0","0","0","0","0",NA,NA,NA,NA,NA
"chin1286",NA,NA,"0","1","0","1","0","0","1","0",NA,"0","0",NA,NA,NA,NA,"0","0","0","1",NA,NA,NA,"0","0","0","1","1","1","1","1","0","0",NA,NA,"0","1",NA,"0","0","0","0","1","1","1","0","0","1","1","1","0",NA,NA,"1","0","0","0","1","1","1","0","1","1","0","0",NA,"0","1","1","0","1","1",NA,"1","1","1","1","0","1","0","1","0","0","0","0","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","0",NA,NA,"0",NA,NA,"1",NA,"0","0","1","0",NA,"0","1","1","0","1","1","0","0","0","0","0","0","1","0","1","1","0","1","0",NA,"0","0",NA,"1","1",NA,"0",NA,"0",NA,"0","0","0","1","0"
"chip1241","1",NA,"0","1","0","1","0","0","1","0","0","0","1","0","0","0","1",NA,"1","0","0","0","1","1","0",NA,"0","0","1",NA,"0",NA,NA,"1","1",NA,"0","1",NA,"0","0","0","1","1","1","1","0","1","1","1","1","0",NA,NA,"1","0","0","0","1","1","1","1","1",NA,"0","1","1",NA,"1","1","1","1","0","2","1",NA,"0","0",NA,"0",NA,"1","0","0","0","0",NA,"1","0","0","1","0","0","0","0","1","0","1","0","0","0","1",NA,NA,"0","0","0","1","0","0","0","0",NA,"0","0",NA,"1","0","0","1","1",NA,NA,"0","0","0","0","0","0","1","0","1",NA,"0","0","0","0","0","1","0","0","0",NA,"0","0","0","0","1",NA
"chip1261","1","1","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","1","1","1","1","1","0","0","1","0","0","1","1","0","0","1","0","1","1","0",NA,NA,"1","0","0","0","1","1","1","1","1","0","1","0",NA,"1","1","1","0","1","1","1","0",NA,"0","0","1","1","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","2","0","0","1","1",NA,NA,"0","1","0","1","1","0","1","0","1","0","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1",NA,"0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1"
"chiq1248","1","0","0",NA,"1","1",NA,NA,NA,NA,NA,"1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","1","0","1","1",NA,"1","1","1","0","1","0",NA,"0","0","1","1","1","1",NA,"1","1","1","1","1","0","0","1","0","1","0","1","1","1","1","1","0","1","1","1","1",NA,NA,"1",NA,"0","1","0","1","1","0","1","0",NA,"1","0","0","1","0","1","1","1","0","1","1","0","0","0","1","0",NA,"0","0","1","0","1","1","1","1","0","0","0",NA,"1","0","1","0","0","1","1","1",NA,NA,"0","0",NA,"0","0","1","1","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1"
"chir1283",NA,NA,"0","0","1","0","0","0","1","1","0",NA,"0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0",NA,"1","1","0","0","0","1","1","1","0",NA,"0","1","1","0","1","1","1",NA,NA,NA,"0","1","1","1","0","0","0","0","2","0",NA,"0",NA,"0",NA,"1","0","2","0","0",NA,"1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",NA,NA,"1","1","0","0","0","1","1","0","0","0","0","0",NA,"1",NA,"1","0",NA,"0","0","1","0","0","0","0","0","0","1","0","1",NA,"1","0","0","0","1","1","0","0","0","0","0","0","0","0","1",NA
"chit1248",NA,"0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1",NA,"0","0","1",NA,NA,NA,"1","0","0","0","1","0","0","1","0",NA,NA,NA,NA,"1","0","0","0","0","1","1","1","1","0","1","0","1","1","0",NA,NA,"1","0","0","0","1","1","1","0","1","1","0","0","2","0","1","0","0","0","1","1","0",NA,"0","0","1","1","1","0",NA,"0","0","0","0","0","0","0","1","1","1","1","0","1","0","2","0","0","1","0",NA,NA,"0",NA,NA,"0",NA,"0","1","1",NA,"1","0","1","1","1",NA,NA,"0",NA,NA,"0","0","0","0","1","0","0","0","1",NA,"0","0","0","0","0","1","0","0","0",NA,"1","0","0","0","0","1"
"chol1284","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","1","1","1","0","1","1","1","0","0","1","0","0","0",NA,"0","1","1","1",NA,"0",NA,"1","1","0","0","1","1","0","0","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","0","1","0","1","0","1","0","0","0","0",NA,"0","1","0","0","0","1","1","0","0","0","1",NA,"1","1","0","0","0","0","1","0","0","0","1","0",NA,"0","1","1",NA,"0","1","1","1","0","1","0",NA,"1","0","0","0","1",NA,"0","0","0",NA,NA,"0","0","0","0","0","1","0","0","1","0","0","0","0","0","1",NA
"chot1239","0","0","0","0","0","0","0","0","0","1","1","0",NA,NA,NA,"1","0","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0",NA,NA,"2","1","0","0","0",NA,NA,"0","1","1","0","0","0","0",NA,"0","1","1","1","0","0","0","2","0","1","1",NA,"1",NA,"1","0","2","0","0","1","1","0","0","1","1","0","0","1","0","0","0",NA,"0","0","0","0","1","0",NA,"0","0",NA,NA,"1","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","1",NA,NA,"0","1",NA,"0","0","0","0","0","0","0","0",NA,"1",NA,"0","0","1","1","0","0",NA,"1","0","0","0","1","1","0"
"chug1252","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0",NA,NA,"1","0","1","1","0","0","1","0","0","1","0","1","0","0",NA,"0","0","0","0","0","1","0","1","0","0",NA,NA,"1","0","1","1","0",NA,NA,"0","1","1","0","0","0","0",NA,"1","1","1","1","0","0","1","2","0","1","1","0","1","1","1","0","2","0","0","1","1","1","0","1","0","1","0","1","0","0","1","0","0","1","0","0","1","0","2","0","0","1","0","1","1","0","1","0","1","1","1","0","0","1","0","0",NA,NA,"0","0","1","0","1","1","0","0","0","0",NA,"0","1","0","1","0",NA,"0","0",NA,"0","0","0","0","0","1","0","1","0","1","0","0"
"chuj1250",NA,"1","0","0","0","0","0","0","0","1","0","1",NA,"1","0","0","1","0","0","0","1",NA,NA,NA,"0","0","0","0","1","0","1","1","0",NA,NA,NA,"1","1","0","1","0","0","1","1","2","1",NA,"1","1","1","1","0",NA,NA,"1","1","0","0","1","1","1","1","1","0","0","1","1","1","2","0","1","1","0","2","1","1","0","1","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","1",NA,NA,NA,"0",NA,NA,"1","0",NA,"0",NA,"1","0","0","1","0","1",NA,"1","0","0","0","0","0","0","0","1","0","0","0","1","0","0",NA,"0","0","0","1","0","0",NA,NA,"0","1","0","0","1","0"
"chuk1273","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","1","0","0","1","0","1","1","0","1","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","0","1","1","1","1","1","1","0","0","0","1","0",NA,"0","0","0","1","1","0",NA,"0","0","1","1","1","0","0","1","0","1","1","0","0","0","1","1","0","0","0","1","0",NA,"0","0","1","0","1","1","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","1"
"chuv1255","1","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","1","1","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","1","1","1","0","1","1","0","1","1","1","0","0","0","0","1","1","1","1","0","0","1","1","1",NA,"1","0","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","1","1","1","1"
"chuw1238","0","0","0","0","0","0","1","0","0","1","0","1",NA,"0","0","0","1","0","1","0","0","1","0","0",NA,"0","0","0","1","0","0","1","0","1","1","0",NA,"1","1","0","0","0","0","1",NA,"0","0","1","1","1","1","0",NA,NA,"1","0","0","0","0","1","1","1","1",NA,NA,NA,"2","0","2","1","1","1","0","1","0","2","1","0","1","0","1","0","0","1","1","0",NA,"0","0","0","1","1","0","1","0","1","0","2","0","0",NA,NA,NA,NA,"0","0","0","1","1","0","1","0","1","0","0","1","1","0",NA,"1","1","0","0","0","0","0","0","1","0","1","0","1",NA,"0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"cici1237","1","0","0","1","1","1","1","0","1","1","0","0",NA,NA,NA,"0","1","1","0","0","1",NA,NA,NA,"0","0","0","1","1","0","1","0",NA,"0","1","1","0","1","0","0","0","0","1","1","2","1",NA,"0","1","1","1","0",NA,NA,"1","0","0","0","1","1","1","0","1","0","0","0","2","0","2","1","1","1","1","1","0","2","1","0","1","0","1","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","0","2","0","0","1","1",NA,NA,"0",NA,NA,"0","1","1","1","0","0","0","0","1","0","1",NA,NA,NA,"1","0",NA,NA,"1","0","1","0","1","0","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1"
"cjin1234","1","1","1","1","1","1","1","1","1",NA,NA,"0","1","0","0",NA,"1","1",NA,NA,NA,"0","1","1","0","0","0","0",NA,"1","0","1","0","0","0","0","0","1","0","1","0","0","1","0",NA,"0","1","1","0","0","0","1",NA,NA,"1","0","0","0","1",NA,NA,"0",NA,"0",NA,"1","1","0","2","1","1","1","1",NA,"1",NA,"1","1","1","0","1",NA,"1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","2","0","0","1","1",NA,NA,"0","1","0","1","1","0",NA,"0","1","0","0","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1",NA,"0",NA,NA,"1","0","1","0","1","0","0",NA,NA,NA,NA
"clas1249","1","0","0","1","0","1","0","0","1","0","0","0","1","1","0",NA,"1","0","1","0","0","0","1","1","0","0","1","0","1","0","1","1","0","1","1",NA,"0","1","0","1","0","0","1","0",NA,"1","0","1","0","1","1","0","1","1","1","0","0","0","0","1","1","1","1","1","1",NA,"1","1",NA,"0","1","1","1",NA,"1",NA,"1","0","1","1","1","0","1","1","1","0","1","0","0","0","1","1","0","0","0","1","1",NA,"0","0","0","0","1","1","1","0","0","1","1","0","1","1","1",NA,NA,"1","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1",NA,"1","1","0","0","0","0","0","0",NA,"1","0","1"
"clas1250","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0",NA,"1","1","0","0","1","1","1","1","0",NA,"1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1",NA,"1",NA,"1","0","1","1","0","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1",NA,"1","1","1","0","2","1","1","0","0","1","0","1","1","1","1","1","0","1","0","0","1","1","0","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","0",NA,"1","0","1","0","0","1","1","1",NA,"1",NA,"0","0","0","0","1","0",NA,"0","1","0","1","0","1","1","1","1","0","1","0","1","1","0","0","1","1","0","1","1"
"coah1252",NA,NA,"0","0","1","1","0","0","1","1","0","0",NA,NA,NA,"0","1","1","0","0","1",NA,NA,NA,"0","0","1","1","1","0",NA,"1","0",NA,NA,NA,"0","1",NA,NA,"0","0","1","1","2","1",NA,NA,"1","1","1","0","0","1","1","0","0","0","1","1","1","1","1","1","0",NA,"2","1","1",NA,"0",NA,"1","1","0","1","0","0",NA,"1",NA,"1","0","0","1","1","1","0","0","0","1","1","0","0","0","1",NA,NA,"0","0","1","0",NA,"1","0",NA,NA,NA,"1",NA,NA,NA,NA,NA,"0","1","1","1",NA,NA,NA,"0",NA,"0","0","0","1",NA,"0",NA,"0","1",NA,NA,NA,"0","0",NA,"1","0","0",NA,"0","0",NA,"0","0","1","1"
"coca1259","1","1","0","1","0","1","1","1","0","1","0","0","0","1","0",NA,"1","0","0","0","1","0","0","0","0",NA,"1","0","1","1","0","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","0","1","1","0","0","1","1","1","0","0","1","1","1","0","1","0","0","1","1","0","1","1","0","1","1","1","0","1","1","0",NA,"0","1","0","1","0","0","0",NA,"1","0","0","1","0","0","0","1","1","0",NA,"0","1","0","1","0","1","0","0",NA,"1","0","0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1"
"coeu1236",NA,"1","0","1","0","1","1","0","1","0","0","0",NA,NA,"0",NA,NA,"1","0","1","1",NA,NA,NA,"1",NA,"0","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","1","1","1","0","1",NA,"0","1","1","0",NA,NA,"1","0","0","1","1","1","1","0","1","1","0","0",NA,"0","1","1","1","1","0","2","1","1","0","1",NA,"0",NA,"1","1","1","1","0","1","0","0","0","1","1","0","0","0","1","0",NA,"0","0",NA,NA,NA,NA,"0",NA,NA,"1","0","0","0",NA,"0","1","0","1","1","0","1",NA,NA,"0",NA,"0","0","0","1",NA,"0","0","0",NA,"0",NA,"0","0",NA,NA,"1",NA,NA,NA,NA,NA,NA,"0","1","1","0"
"cofa1242",NA,"0","0","0","1","0","0","0","0","1","0","0",NA,"1",NA,"1","1","0","1","0","0",NA,NA,NA,"0","0","1","0","1","0","1","1","1","1","1","1",NA,NA,"0",NA,"0","0","1","1","1","1",NA,NA,"0","1","1","0","1","1","1","0",NA,"0","0",NA,"1","1","1",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1","0","1","0","0","1","1","1",NA,"1",NA,"1","0","1","0","0","0","1","1","0","0","0","1","0",NA,"0","0",NA,"0","1","1","0",NA,NA,NA,"0",NA,"1",NA,"1",NA,"0","1","1","1",NA,NA,NA,"1","1",NA,"0","0","0",NA,"0","1","0","1",NA,"1",NA,"0",NA,"0","1","0","0","1","0","0","0","0","1","0","1"
"cogu1240",NA,NA,"0","0","1","0",NA,"0",NA,"1","0","1","0","1","0",NA,"1","0","1",NA,NA,"1","1","1","0","0","1","0","1","0",NA,NA,"0","1","1","1",NA,"1","0",NA,"0","0","1","1",NA,"1","0",NA,"0","1","1","0","1","1","1","0","0","0","1","1","1","1","1",NA,NA,"1",NA,NA,"1",NA,"0",NA,"1","1","0",NA,"0","1",NA,"1","0",NA,NA,NA,"0","0","1","0","0","0","1","1","0","0","0","1",NA,"2","0","0","0","0","1","1","0","0","0",NA,"0",NA,"1",NA,"1","0","0","1",NA,"1",NA,NA,"0","0","1","0",NA,"0","0","1","0","1","0","1",NA,NA,"1","0",NA,"1","1","0","0","0","0","0","0",NA,"1","0",NA
"colo1256","0","1","1","0","1","0","0","0","0","1","0","0","1",NA,NA,NA,"1","0",NA,NA,NA,NA,NA,NA,"0","0","1",NA,"1","0","1",NA,"1","0","0","1",NA,"1","0","1",NA,"0",NA,NA,"1","1","0",NA,"1",NA,NA,"0","1","1","0","0","0","0",NA,NA,"1","1","1",NA,"0","1","1","0","1","1","0","1","1","1","0","1","0","1",NA,"1",NA,NA,"1","0","0","0",NA,"0","0","0","1","0","0","0","0","1",NA,"1","0","1","0","1","1","1",NA,NA,NA,"1","0",NA,NA,"0","1","1","0",NA,"1","1","1",NA,NA,NA,"1","0","0","0","1","0","0","0","0","0","0","1",NA,"0",NA,"1","1","0","0","1",NA,"0","0",NA,NA,NA,NA
"colu1241","1","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","1","1",NA,NA,NA,"1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","0","1","1","0",NA,NA,"1","0","0","1","1","1","1","0","1","0","0","0","1","0",NA,"1","1","1","0","2","1","1","0","1","0","0","1","1","1","1","1","0",NA,"0","0","0","1","1","0","0","0","1","0","1","0","0","1","1",NA,NA,"0",NA,NA,"1","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0",NA,"1",NA,"0",NA,"0",NA,NA,"0","0","1","1"
"coma1245","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","1","1","0","1","0","1","0","0","0","1","0","1","1","1","1","1","1","1",NA,"1","1","1","0","1","0",NA,NA,"1","1","0","1","0",NA,NA,"0","1","1","0","0","0","0",NA,"0","1","0","1","1","0","1","1","0","1","1","0","1","1","1","0","1","0","0","1","1","1","1","1","1",NA,"0","0","1","0","1","1","1","0","0","0","1","0","1","0","0","1","0","1","0","1","1","1","1","0","0","0","1","0",NA,"0","1","1","1",NA,"1","1","0","1","0",NA,"1","0","0","1","1","0","1","0","0",NA,"0","0","1","1","0","0","0","1","0","0","0","1","0",NA
