"","glottocode","GB020c","GB021c","GB022c","GB023c","GB024e","GB025e","GB026","GB027","GB028","GB030","GB031","GB035","GB036","GB037","GB039c","GB041c","GB046","GB047","GB048","GB049","GB051c","GB052c","GB053c","GB054c","GB058","GB059","GB065e","GB068","GB069","GB074c","GB075c","GB081","GB082c","GB083c","GB084c","GB095","GB096","GB098","GB099","GB103","GB104","GB105","GB107","GB108","GB109","GB110c","GB111","GB113","GB116","GB117","GB118","GB122","GB123","GB124","GB126","GB127","GB129","GB130e","GB131","GB132","GB133","GB134","GB135","GB136","GB137","GB138","GB139","GB140","GB146","GB147c","GB149","GB150","GB151","GB152","GB155","GB156","GB158","GB159","GB167","GB177","GB192c","GB193e","GB196","GB197","GB198c","GB203e","GB204","GB250","GB251m","GB252c","GB253c","GB254c","GB256","GB257","GB260","GB262c","GB263c","GB264c","GB265","GB266","GB270","GB273","GB275c","GB276c","GB296","GB297","GB298","GB299","GB300","GB301","GB302c","GB304c","GB309c","GB313","GB321c","GB323c","GB324","GB325","GB326","GB327","GB328","GB331","GB333","GB334","GB335","GB336","GB401","GB402","GB403","GB408","GB409","GB410","GB415","GB430c","GB431c","GB432c","GB433c","GB480m","GB500drm","GB501drm","GB510m","GB522","GB549drmc","GB550m","GB551m","GB552m","GB553drmc","GB555m","GB556m","GB557drm","GB558drm","GB559drm","GB560drmc","GB561drmc","GB563m","GB567drm","GB568drm","GB569drmc","GB590m","GB591m","GB595m","GB606m","GB620drmc","GB621drmc","GB622drmc","GB623drmc","GB624drmc","GB625m","GB701drm","GB702drm","GB703drmc","GB704drm","GB777drm","GB800m","GB850drm","GB851drm","GB852drm","GB853drm","GB887drmc","GB888drmc","GB945m","GB949m","GB950m","GB951drmc","GB952drmc","GB953drmc","GB954drmc","GB955drmc","GB990drmc","GB991drmc"
"2217","fiji1243","1","0","1","0","1","2","0","0","1","0","1","1","0","0",NA,NA,"1","1","0","1","0","0","0","0","1","1","2","1","0","1","0","0","0","1","1","0","1","0","?","0","1","1","0","0","0","0","0","1","0","0","0","?","?","1","1","1","0","2","0","1","0","1","1","0","0","0","1","1","0","1","0","0","0","1","1","0","1","0","0","?","0","2","0","0","0",NA,"1","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","?","0","0","1","0","0","0","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","0","1","1","0","1","1","1","1","0","1","1","1","1","1","1",NA,"1","1","0","0","1","1","1","0","0","0","1","0","1","1","?","?","0","?","1","1","0","0","0","0","0","1","0","0","1",NA,NA,NA,NA,NA,NA,NA
"2218","gaga1251",NA,NA,NA,NA,"2",NA,"1","0","0","1","0","0","0","0",NA,NA,"0","0","0","0","1","0","1","1","0","1","2","?","?","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","1","?","0","0","0","1","1","1","1","0","0","1","0","1","0","1","?","1","1","1","1","1","0","?","0","0","0","0","0","0","1","1","0","?","0",NA,"0","0","1","2","0","1","1","0","1","0","0","?","?","?","?","?","?","?","?","?","?","?","0","?","0","1","0","?","?","?","0","0","0",NA,"0","0","0","0","1","?","0","0","0","0","?","0","0","0","0","1","0",NA,NA,NA,NA,"0","0","0","0","0",NA,"0","1","0",NA,"?","1","1","1","1","1",NA,"1","1","?",NA,"0","0","0","?","1","1","1","1","0","1","0","1","0","1","1","?","1","0","0","1",NA,NA,"0","?","?",NA,NA,NA,NA,NA,NA,NA
"2219","gant1244","1","1","0","1","2","2","0","1","0","0","1","0","0","0",NA,NA,"?","?","?","?",NA,NA,NA,NA,"0","1","1","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","?","0","0","0","1","0","0","?","0","1","0","0","1","1","0","1","0","0","0","0","1",NA,"0","1","1","1","?","?","1","?","0","0",NA,"2","0","0",NA,"2","?","0","0",NA,NA,NA,"0","1","0","0","1","0","?","?","?","?","?","?","?","0","0","1","0","?",NA,NA,"1","0",NA,"?","1","?","1","0","0","0","?","?","?","?","?","0","0","1","0","1","0",NA,"1",NA,"0","1","1","0","0","0","1","1","0","0","0","0","0","1","1","1",NA,NA,"1","0","0","0","0","1","?","1","1","1","0","0","1","1","?","?",NA,"?","1","?","?","?","0","?","0","1","0","0","1",NA,NA,NA,NA,NA,NA,NA
"2221","gira1247",NA,NA,NA,NA,"2",NA,"0","?","0","0","1","1","0","0",NA,NA,"0","?","?","?",NA,NA,NA,NA,"0","1","1","0","0",NA,NA,"0","1","1","1","0","0","0","1","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","?","0","1","0","0","1","1","?","1","1","1","1","?","1",NA,"0","1","1","0","0","1","0","0","0","0",NA,"2","0","0",NA,NA,"?","?","1","?","?","1","?","0","0","0","1","1","1","0","1","0","1","0","?","0","0","1","1","?",NA,NA,"0","0",NA,NA,"0","?","1","?","?","?","?","0","0","0","?","0","?","0","0","1","0","0",NA,"1",NA,"1","1","0","?","1","0","0","0","0","1","0","0","1","1","1",NA,NA,"0","0","0",NA,"1","0","0","?","1","1","1","0","1","1","0","0",NA,"0","1","1","0","?","0","?","1","0","0","0","1",NA,NA,NA,NA,NA,NA,NA
"2225","gunw1252",NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","0","0",NA,NA,"0","1","1","0","1","0","1","1","0","1",NA,"1","0","1","1","0","1","1","0","0","0","0","0","1","0","1","0","1","0","1","1","1","1","0","1","0","0","0","0","1","0",NA,"1","1","1","1","1","0","0","1","0","1","1",NA,"0","0","0","1","0","0","1","0","0","1","0",NA,"0","0","0",NA,"1","1","0",NA,NA,NA,"0","1","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","1",NA,NA,"0","0","1",NA,"0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","?","0","1",NA,"0","1","0",NA,"0","0","1","?","?","1",NA,"1","1","1",NA,"1","1","0","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","0",NA,NA,"0","0","1",NA,NA,NA,NA,NA,NA,NA
"2227","haru1245",NA,NA,NA,NA,"2","2","0","1","0","0","0","1","0","0",NA,NA,"?","1","0","0",NA,NA,NA,NA,"0","0",NA,"0","?","0","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","?","0","?","?","1","1","0","0","1","?","1","0","1","0","1","1","1",NA,"0","1","1","0","0","0","0","0","?","0",NA,"2","0","0",NA,"?","?","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,"0","0","1","0",NA,NA,"?","1","0","0","0","?",NA,NA,"1","0",NA,"?","?","?","1","1","1","0","0","0","0","1","1","0","0","0","0","1","0",NA,"0",NA,"1","?","0","0","0","1","?","0","0","0","?","0","0","1","1","1",NA,NA,"1","0","0",NA,"0","1","?","1","1","1","0","0","1","1","0","0",NA,"0","1","0","0","0","0","0","?","?","0","1","0",NA,NA,NA,NA,NA,NA,NA
"2229","huam1247",NA,NA,NA,NA,NA,"1","0","1","0","0","0","1","0","1",NA,NA,"0","1","1","1",NA,NA,NA,NA,"1","0","1","0","0","0","1","1","0","1","1","0","0","1","1","1","0","1","1","1","1","0","1","1","0","1","?","0","?","0","1","0","0","1","0","0","1","1","1","0","1","0","1","0","0","1","1","1","1","1","1","0","1","0","0","0",NA,"2","0","0",NA,NA,"0","1","1","0","1","0","0","?","?","?","?","?","0","0","0","1","0","1","1","?","0","0","0","?","0","?","1","0",NA,"1","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","1","0","1","0","0",NA,NA,"1","0","0",NA,"1","1","1","1","1","1","1","0","1","1","1","0",NA,"1","1","1","0","0","0","0","1","1","0","?","?",NA,NA,NA,NA,NA,NA,NA
"2230","huar1255","0","0","1","0","1","1","1","1","0","0","0","1","0","0",NA,NA,"0","1","1","1",NA,NA,NA,NA,"0","1","1","?","0","0","1","0","1","1","1","0","0","0","0","1","1","1","1","1","1","0","1","1","0","1","?","0","?","0","1","?","0","1","0","1","0","1","1","1","0","0","1","0","0","1","0","0","1","1","1","0","1","1","0","0",NA,"2","0","0",NA,"1","1","0","0",NA,NA,NA,"1","1","0",NA,NA,NA,"0","0","?","1","0","1","?","0","0","0","?","0","0","1","1","0",NA,"1","0","?","0","1","1","1","1","0","1","0","1","?","?","1","0","0","0",NA,"0",NA,"1","1","1","?","0","1","1","1","0","0","1","1","0","1","1","1",NA,NA,"1","0","0","0","0","1","1","0","1","1","1","1","1","1","0","?",NA,"?","1","1","0","0","0","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA
"2231","isir1237",NA,NA,NA,NA,"2","2","0","?","0","0","1","1","0","0",NA,NA,"0","?","?","?",NA,NA,NA,NA,"0","0","1","0","0","0","1","0","0","1","1","0","1","1","1","0","0","0","1","1","1","1","1","0","1","0","?","0","0","0","0","0","0","1","0","0","1","?","?","1","0","0","1","?","?","?","0","0","0","1","0","?","1","0","1","1",NA,"2","0","0",NA,"2","?","0","1","0","0","1","0","0","0","0","1","0","?","?","?","?","?","?","?","0","0","0","1","?","?","?","1","1",NA,NA,"?","?","?","1","0","0","0","1","1","0","?","?","?","1","0","0","0","0",NA,"1",NA,"1","0","0","?","?","1","0","0","0","1","?","?","1","1","1",NA,NA,"1","0","0",NA,"1","0","0","0","1","1","0","1","0","1","?","?",NA,"?","1","?","?","?","0","?","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA
"2235","kara1500","0","1","0","1",NA,"1","0","?","1","0","0","1","0","0",NA,NA,"?","1","1","1",NA,NA,NA,NA,"0","?","2","?","0","0","1","0",NA,NA,NA,"1","0","0","0","0","0","0","1","1","0","0","0","1","1","?","0","1","0","1","?","1","0","1","0","0","1","1","1","1","?","?","0","0","?","1","0","?","?","0","1","0","1","1","0","0",NA,NA,"0","0",NA,NA,"?","0","0",NA,NA,NA,"1","0","0","1","0","0","0","1","0","0",NA,NA,"?","0","0","0","?","0","0","0","0","0",NA,"0","0","?","?","1","0","0","0","1","0","0","1","?","?","1","1","0","0",NA,"1",NA,"0","0","1","1","0","0",NA,"1","0","0",NA,"1","1","1","0","1",NA,NA,"1","0","0","0","0","1","1","1","1","0","1","1","1","1","?","1",NA,"1","1","0","1","1","1","0",NA,NA,"0","0","1",NA,NA,NA,NA,NA,NA,NA
"2236","kask1239",NA,NA,NA,NA,"2","1","?","?","0","0","0","0","0","0",NA,NA,"0","0","1","0",NA,NA,NA,NA,"0","1","1","1","?","?","1","0","1","0","1","?","?","?","?","1","0","?","0","0","?","?","0","1","0","?","?","0","?","?","?","?","0","1","0","0","1","1","?","?","0","1","?","?","?","1","?","?","0","0","1","0","?","?","?","0",NA,"2","0","0",NA,NA,"0","?","?","?","?","?","?","0","0","0","1","0","?","?","?","?","?","?","?","0","0","1","?","?","0","1","0","0",NA,"1","0","?","0","?","?","?","1","1","0","0","?","?","?","0","0","1","?",NA,"0",NA,"1","0","0","1","?","1",NA,"0","0","0",NA,"1","?","1","1","1",NA,NA,"1","0","0",NA,"0","1","1","?","1","1","1","1","0","1","1","1",NA,"1","1","?","1","1","1","0",NA,NA,"0","?","1",NA,NA,NA,NA,NA,NA,NA
"2240","kesa1244","0","0","0","1","2","1","0","0","0","0","0","1","0","0",NA,NA,"1","1","?","?",NA,NA,NA,NA,"0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","1","?","0","1","0","1","0","0","1","1","1","0","0","0","1","0","0",NA,"?","1","1","1","1","0","0","1","0","1",NA,"2","0","0",NA,"2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,"0","0","1","0","1","0","?","0","0","1","1","1",NA,NA,"0","1",NA,NA,"0","0","1","1","1","0","0","0","0","0","1","0","0","1","0","1","0",NA,"0",NA,"1","1","1","1","0","1","1","1","0","0","1","0","0","1","1","1",NA,NA,"1","0","0","0","0","1","0","1","1","1","1","0","1","1","?","?",NA,"?","1","1","1","1","1","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA
"2242","kile1243",NA,NA,NA,NA,"1","1","0","?","1","0","0","?","0","0",NA,NA,"0","?","1","?","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0",NA,NA,"?","0","0",NA,NA,NA,"0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","0","1","1","0","0",NA,"1","0","1","0","1","?","1","0","0","0","?","0","0","1","0","0","0","0","0","1","1","1","1","0","0","1","1","0","1","0","1","1","0","1","1","1","0",NA,"1","0","0",NA,"1","1","0","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA
"2243","komb1274",NA,NA,NA,NA,"2",NA,"0","1","0","0","0","0","0","0",NA,NA,"0","0","0","0",NA,NA,NA,NA,"0","0","1","?","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","1","?","0","0","1","0","1","0","0","1","1","1","1","1","0","1","1","?",NA,"0","1","1","1","0","1","1","?","0","0",NA,"2","0","0",NA,"?","?","?","?","?","?","?","?","1","0",NA,NA,NA,"0","0","1","0",NA,NA,"0","0","0","0","1","0",NA,NA,"0","1",NA,"1","0","?","1","0","0","0","0","0","0","1","?","1","1","0","0","1","0",NA,"1",NA,"0","0","1","0","0","0",NA,"0","0","0",NA,"0","0","1","1","1",NA,NA,"1","0","0",NA,"0","1","1","1","1","1","0","0","1","1","0","0",NA,"0","1","0","0","0","0","0",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA
"2245","kosa1249",NA,NA,NA,NA,"2","2","0","0","0","0","0","1","1","1",NA,NA,"0","1","?","1","?","?","?","?","0","1","1","0","0","0","1","0","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","?","0","1","0","1","0","0","0","?","0","1","0","0","1","1","1","1","1","0","0","1","?",NA,"0","1","1","0","?","?","1","?","0","0","?","2","0","0","?","2","0","?","?","?","?","?","?","0","0",NA,NA,NA,"?","?","?","?","?","?","0","0","0","1","?","0",NA,NA,"1","0","?",NA,"1","0","1","1","1","0","0","0","0","1","?","?","?","0","1","0","0","0",NA,"1",NA,"1","0","0","0","1","1","0","?","0","1","0","0","1","1","1","?",NA,"1","0","0",NA,"1","0","0","0","1","1","1","0","1","1","?","?","?","?","1","?","1","1","1","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA
"2248","kusu1250",NA,NA,NA,NA,"2","1","0","0","0","0","0","0","0","0",NA,NA,"0","0","1","0",NA,NA,NA,NA,"0","0","1","?","0","0","1","0","0","1","0","0","0","0","0","?","?","1","1","0","0","0","1","1","0","1","0","?","1","0","1","0","0","1","0","0","1","1","?","1","1","0","1","1","0",NA,"0","1","?","1","1","0","?","?","0","0",NA,"1","0","0",NA,"?","0","0","1","1","0","1","1","1","0",NA,NA,NA,"?","?","?","?","?","?","?","0","0","1","0","0",NA,NA,"0","1",NA,"?","0","0","?","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","?","1",NA,NA,"1","0","0",NA,"1","1","1","0","1","1","1","1","1","1","?","?",NA,"?","1","?","1","0","0","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA
"2250","kwin1241",NA,NA,NA,NA,NA,"2","1","?","1","1","1","?","0","0",NA,NA,"?","?","?","?","0","0","1","1","0","1",NA,"?","?","0","1","?","1","1","1","0","0","0","0","1","0","1","0","0","0","0","?","1","0","0","0","0","1","0","0","0","1","1","0","1","0","1","1","0","0","1","1","1","1","?","?","0","0","?","0","?","1","?","0","0","?",NA,"0","0","1","?","?","0","0",NA,NA,NA,"1","?","0",NA,NA,NA,"?","?","?","?","?","?","?","0","0","1","0","?","0","1","0","0","0","?","0","?","1","1","?","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1",NA,"0","1","0",NA,"1","0","1","1","1","1",NA,"1","1","1",NA,"1","1","?","0","1","1","1","1","1","1","0","0","0","0","1","?","?","?","?","?",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA
"2251","kwom1262",NA,NA,NA,NA,"1","1","0","1","0","1","0","1","0","0",NA,NA,"0","0","0","0",NA,NA,NA,NA,"0","0","1","0","0",NA,NA,"0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","?","0","0","1","0","0","1","0","?","1","0","0","?","?","0",NA,"0","0","0","0","?","?","0","0","0","0",NA,"1","1","0",NA,"1","?","0","0",NA,NA,NA,"0","1","0","0","0","1","?","?","?","?","?","?","?","0","0","1","0","0",NA,NA,"0","0",NA,NA,"0","?","1","0","0","0","0","1","1","1","?","0","0","1","0","0","0",NA,NA,NA,NA,"1","0","0","0","?","0","0","0","0","1","0","0","1","1","1",NA,NA,"0","0","0",NA,"0","0","0","1","1","1","1","1","0","1","0","0",NA,"0","1","?","?","?","?","?","0","1","0","0","1",NA,NA,NA,NA,NA,NA,NA
"2253","lena1238","1","0","1","0","2","2","0","0","1","0","1","1","0","0","0","0","1","1","1","1",NA,NA,NA,NA,"0","1","2","1","0","1","1","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","1","0",NA,"0","0","0","1","0","0","0","1","0","0",NA,"2","0","0",NA,NA,"0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0",NA,NA,"0","0",NA,NA,"1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1",NA,"0",NA,"0","0","0","1","1",NA,"1","0","0",NA,"0","0","1","0","1",NA,"1","1","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0",NA,"0","1","1","1","1","1","0",NA,NA,"1","0","1","1","1","1","0","1","1","1"
"2257","maib1239",NA,NA,NA,NA,"2","2","0","0","0","1","0","1","0","0",NA,NA,"0","0","1","1",NA,NA,NA,NA,"1","1","1","1","1",NA,NA,"0",NA,NA,NA,"0","0","0","0","1","1","1","1","1","0","0","0","1","0","0","1","0","?","0","0","0","0","1","0","1","0","1","1","0","1","0","0","1","0",NA,"0","0","0","1","0","1","1","0","0","0",NA,"2","0","0",NA,NA,"0","?","?","?","?","?","?","0","0","0","1","0","?","?","?","?","?","?","0","0","0","1","?","?",NA,NA,"0","0",NA,NA,"1","0","0","1","0","?","0","1","0","1","?","?","?","1","0","0","0",NA,"1",NA,"0","0","0","1","0","?",NA,"0","0","1",NA,"0","0","1","1","1",NA,NA,"0","0","0",NA,"0","1","0","?","1","1","0","1","0","1","0","0",NA,"0","1","?","0","0","0","0",NA,NA,"0","0","1",NA,NA,NA,NA,NA,NA,NA
"2258","mail1248","1","0","0","1","2","1","1","0","0","0","1","1","0","0",NA,NA,"0","1","?","?",NA,NA,NA,NA,"0","?","1","1","0","0","1","0","1","1","1","0","0","1","0","1","0","0","0","1","0","0","1","1","0","0","0","1","0","?","1","0","0","1","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0",NA,"2","0","0",NA,"2","0","0","0",NA,NA,NA,"0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","1",NA,NA,"0","0","1","0","1","0","0","1","?","0","?","0","0","0","1","1","0","?","?","?","?","0","0","0","0","0",NA,"1","0","0",NA,"1","0","1","1","1",NA,NA,"1","0","0","0","?","?","0","0","1","1","1","0","1","1","0","0",NA,"0","1","1","1","0","1","0",NA,NA,"0","0","1",NA,NA,NA,NA,NA,NA,NA
"2263","mani1235","?","?","?","?","2","2","0","1","1","0","1","0","1","?",NA,NA,"0","?","?","?","0","0","1","0","0","1","1","?","?","1","0","0","?","?","?","0","0","0","0","0","1","0","0","0","0","0","0","?","0","1","1","?","1","?","0","1","?","1","0","1","0","?","1","?","1","0","?","?","?","?","?","?","?","?","?","?","?","?","?","0","0","2","0","0",NA,"2","?","0","?","?","?","?","?","?","0","0","1","0","?","?","?","?","?","?","?","?","0","1","?","?","?","?","0","0","?","?","0","0","?","1","?","0","0","1","0","?","1","?","?","1","0","0","?",NA,"?",NA,"?","1","0","1","?","1","1","?","1","0","0","?","?","1","1","1","0",NA,"1","0","0","?","0","?","?","1","1","1","?","1","0","1","?","?","0","?","1","?","?","1","1","?","1","0","0","?","1",NA,NA,NA,NA,NA,NA,NA
"2265","mats1244",NA,NA,NA,NA,"?",NA,"0","1","0","0","0","1","0","0",NA,NA,"0","1","1","1",NA,NA,NA,NA,"0","1","1","0","0","0","1","0","1","1","1","0","0","0","0","1","0","1","1","1","0","0","0","1","0","1","?","?","?","1","0","?","0",NA,"1","1","1","0","1","0","1","0","1","0","0","1","0","1","1","1","1","0","1","0","0","0",NA,"2","0","0",NA,NA,"0","?","?","?","?","?","?","1","0","1","0","0","?","?","?","?","?","?","0","0","1","1","0","?","0","1","1","0",NA,"1","0","0","0","0","1","?","0","0","0","0","0","0","0","0","1","1","0","0",NA,"1",NA,"1","0","0","0","?","1","0","0","0","1","1","1","1","1","0",NA,NA,"1","0","0",NA,"1","0","1","?","1","1","0","0","1","1","0","0",NA,"0","1","?","1","1","1","0","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA
"2267","melp1238","?","?","0","1","2","2","0","?","0","0","1","1","0","0",NA,NA,"?","1","0","0",NA,NA,NA,NA,"0","0","1","0","0","0","1","0",NA,NA,NA,"0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","?","0","1","0","1","0","0","1","0","0","1","1","?","0","0","0","0","0","0",NA,"0","1","1","1","1","0","0","0","0","0",NA,"2","0","0",NA,"?","?","?","?","?","?","?","?","1","0","0","1","0","?","?","?","?","?","?","0","?","0","0","0","?",NA,NA,"1","0",NA,NA,"0","?","1","1","0","?","0","0","0","0","?","0","0","0","1","1","0","0",NA,"1",NA,"1","0","0","0","1","1","1","0","0","1","0","0","1","1","1",NA,NA,"1","0","0","0","1","0","0","?","1","1","0","0","1","1","0","0",NA,"0","1","?","?","?","?","?","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA
"2271","moch1257","1","0","1","0","1","1","0","1","1","0","0","1","0","0",NA,NA,"?","1","1","1",NA,NA,NA,NA,"0","1","2","1","0","1","0","0",NA,NA,NA,"0","0","0","0","0","0","?","0","1","0","0","1","1","0","1","1","0","?","0","1","?","0","2","1","0","0","?","?","1","0","1","?","1","?","1","0","0","0","0","1","0","?","?","0","0",NA,"1","0","0",NA,"1","1","0","1","0","0","1","0","?","?","?","?","?","?","?","?","?","?","?","?","0","0","1","0","0","0","1","?","0",NA,"1","0","1","0","1","0","0","?","0","?","0","0","0","0","0","0","1","0",NA,"1",NA,"1","1","1","1","?","1","1","1","0","0","0","1","0","1","1","1",NA,NA,"1","0","0","0","0","1","1","0","1","1","1","1","1","1","1","0",NA,"1","1","?","1","1","?","1","1","0","0","?","?",NA,NA,NA,NA,NA,NA,NA
"2272","musa1266","0","0","0","1","2","2","0","?","0","0","0","1","0","1",NA,NA,"0","1","0","0","?","?","?","?","0","1",NA,"0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","?","0","1","?","0","?","?","1","0","0","1","1","1","0","1","0","1","?","1","?","0","1","1","?","0","0","1","?","0","0","?","2","0","0","?","?","?","0","0",NA,NA,NA,"1","0","0","0","1","0","?","?","?","?","?","?","?","0","0","1","0","?","?","?","1","1","?",NA,"0","0","1","?","?","?","?","?","?","?","?","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","1","?","0","1","?","?","1","1","0","?",NA,"1","0","0","0","1","1","0","?","1","1","0","0","1","1","?","?","?","?","1","?","1","0","0","1","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA
"2273","namb1293",NA,NA,NA,NA,NA,"1","0","1","0","0","0","0","0","0",NA,NA,"0","1","1","0",NA,NA,NA,NA,"0","0","1","0","0","0","1","0","1","1","1","0","1","0","0","1","0","1","0","1","1","1","1","1","0","1","0","0","?","0","0","1","?","1","0","0","1","1","1","0","0","1","0","1","1","1","0","0","0","0","?","0","0","1","0","0",NA,NA,"0","0",NA,NA,"0","0","0",NA,NA,NA,"?","1","0",NA,NA,NA,"0","0","1","0",NA,NA,"0","0","0","1","0","?","0","0","1","0",NA,NA,"1","?","1","1","?","?","0","1","0","0","?","0","1","1","1","0","0","0",NA,"1",NA,"1","1","1","0","1","1","0","0","0","1","1","1","1","1","1",NA,NA,"1","0","0",NA,"1","0","0","?","1","1","1","1","1","1","0","0",NA,"0","1","0","?","1","1","?","1","1","0","1","0",NA,NA,NA,NA,NA,NA,NA
"2275","nopa1235","1","0","0","0","1","2","0","1","1","1","0","0","0","0",NA,NA,"0","0","0","0","0","0","1","0","0","1","2","1","?","1","0","0",NA,NA,NA,"0","0","?","1","0","0","1","0","0","0","1","1","1","0","1","?","1","0","0","1","0","0","2","1","0","0","1","1","0","0","1","0","0","0","?","0","?","0","0","1","0","0","0","0","0","0","2","0","0",NA,"1","0","0","1","0","1","0","0","0","0",NA,NA,NA,"?","?","?","?","?","?","0","0","0","1","0","0","?","?",NA,"1","0",NA,"0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1",NA,"0",NA,"1","1","0","0","?","1","1","1","1","0","1","?","0","0","0","1","0",NA,"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","1","?","?","?","?","0","1","1","0","1","0",NA,NA,NA,NA,NA,NA,NA
"2278","nort2930","1","0","0","1",NA,"1","0","1","0","0","1","0","0","1","1","0","?","?","?","?",NA,NA,NA,NA,"0","0","1","0","0","0","1","0",NA,NA,NA,"0","0","0","0","1","0","0","?","0","0","0","0","1","0","0","0","0","1","0","?","?","0","1","0","0","1","1","0","1","1","0","1","?","?","0","0","0","0","0","1","?","0","1","0","0",NA,NA,"0","0",NA,NA,"?","?","?","?","?","?","?","1","0","0","1","0","0","0","1","0",NA,NA,"0","0","0","1","0","?","0","1","1","0",NA,"1","0","?","0","0","1","0","0","1","0","0","?","1","?","0","1","1","0",NA,NA,NA,NA,"0","1","1","1","1",NA,"1","0","0",NA,"1","?","1","1","1",NA,"0","1","0","0","0","0","0","1","0","1","1","1","1","0","1","0","0",NA,"0","1","0","1","1","1","1",NA,NA,"1","1","1","0","1","1","0","1","0","1"
"2279","nort2942",NA,NA,NA,NA,NA,"1","0","0","0","1","0","0","0","0",NA,NA,"0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0",NA,NA,NA,"0","0","0","1","1","0","1","1","1","0","1","1","1","1","1","0","0","0","1","1","?","0","1","0","0","1","1","1","1","1","0","1","0","1","1","0","0","0","1","1","0","0","0","0","1","0",NA,"0","0",NA,"2","1","0","1","1","0","0","0","1","0","1","0","1","0","0","0","1",NA,NA,"0","0","0","1","1","0","0","0","1","0","1","1","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0",NA,"1",NA,"1","1","0","1","1","0","1","0","1","1","0","1","0","1","1","1","0",NA,"1","0","0",NA,"0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","0","0","1","0","1","1",NA,NA,NA,NA,NA,NA,NA
